Category	Code	Diagnosis	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	Match9	Match10	Exclude1	Exclude2	Exclude3	Exclude4	Exclude5	SQL
Atrioventricular conduction	80	Short PR interval	short PR	short P-R														
Atrioventricular conduction	81	AV conduction ratio N:D																
Atrioventricular conduction	82	Prolonged PR interval	long%PR int	PR int%increase	1st_degree	first_degree	first A%V block	1st A%V block	prolonged P_R	prolonged PR								
Atrioventricular conduction	83	"Second-degree AV block, Mobitz type I (Wenckebach)"	second_degree%A%V%block	2nd%degree%A%V%block	Wenckebach	Mobitz [1I]	second degree block	type 2%A%V%block					type II	type 2	Mobitz II	Mobitz 2		
Atrioventricular conduction	84	"Second-degree AV block, Mobitz Type II"	Mobitz 2	Mobitz II									Wenckebach					
Atrioventricular conduction	85	2:1 AV block	2%1%block															
Atrioventricular conduction	86	"AV block, varying conduction"	A%V%block%var[iy]	var[iy]%A%V%block														
Atrioventricular conduction	87	"AV block, advanced (high-grade)"	A%V%block%advanced	A%V%block%high_grade	advanced%A%V%block	high_grade%block	high_degree%block											
Atrioventricular conduction	88	"AV block, complete (third-degree)"	A%V%block%complete	A%V%block%third_degree	A%V%block%3rd_degree	complete heart block	complete%A%V%block	third_degreeA%V%block	3rd_degreeA%V%block									
Atrioventricular conduction	89	AV dissociation	A%V%dissociation															
Axis and voltage	120	Right-axis deviation	right_axis	rightward axis	axis%shift%right	clock%rotat	with RAD	and RAD	northwest axis				inderminate axis					
Axis and voltage	121	Left-axis deviation	left_axis	leftward axis	axis%shift%left	with LAD	and LAD						inderminate axis					
Axis and voltage	122	Right superior axis	superior axis	sup%qrs%axis														
Axis and voltage	123	Indeterminate axis	indeterminate axis															
Axis and voltage	124	Electrical alternans	electrical alternans															
Axis and voltage	125	Low voltage	low voltage	low QRS voltage	low voltage QRS													
Axis and voltage	128	Abnormal precordial R-wave progression	poor%R_wave%prog	R wave prog%poor	poor%progr	poor R wave	delayed R_wave	abnormal%R%progr	abn%R_wave%progr	borderline R wave progr								
Axis and voltage	131	Abnormal P-wave axis	abn%P_wave axis	abn%p_axis	unusual P%axis													
Chamber hypertrophy or enlargement	140	Left atrial enlargement	Left atrial%enlargement	biatrial enlargement	left atrial abn	biatrial abn												
Chamber hypertrophy or enlargement	141	Right atrial enlargement	Right atrial%enlarge	biatrial enlarge	right atrial abn	biatrial abn												
Chamber hypertrophy or enlargement	142	Left ventricular hypertrophy	Left vent%hypertrophy	LVH														
Chamber hypertrophy or enlargement	143	Right ventricular hypertrophy	Right vent%hypertrophy	RVH	right_heart strain													
Chamber hypertrophy or enlargement	144	Biventricular hypertrophy	biventricular hypertrophy															
Intraventricular and intra-atrial conduction	100	Aberrant conduction of supraventricular beat(s)	aberrant%conduct															
