Bad	Good
AARNP	ARNP
*lead	lead
A C S	acute coronary syndrome
A FfB	atrial fibrillation
A Fib	atrial fibrillation
A Fibrillation	atrial fibrillation
A Flutter	atrial flutter
A Futter	atrial flutter
A V R	aortic valve replacement
A>Fib	atrial fibrillation
AAHYTHMIAS	arrhythmias
AARYTHMIA	arrhythmia
aAtrial	atrial
ABALATION	ablation
ABALITION	ablation
ABALTION	ablation
abberantly	aberrantly
ABBERRANT	aberrant
ABD	abdominal
ABD0MINAL	abdominal
ABDDOMINAL	abdominal
ABDMINAL	abdominal
ABDMPAIN	abdominal pain
ABDNORAML	abnormal
ABDNORMAL	abnormal
ABDOINAL	abnormal
ABDOMIINAL	abnormal
ABDOMINA	abnormal
ABDOMINALPAIN	abdominal pain
ABDOMNIAL	abdominal
ABDPAIN	abdominal pain
aberancy	aberrancy
aberantly	aberrantly
ABLABTION	ablation
ABLASION	ablation
ABLATIO9N	ablation
ABLATIONA	ablation
ABLIATION	ablation
ABNML	abnormal
ABNOEMAL	abnormal
ABNOMAL	abnormal
ABNORAL	abnormal
ABNORAML	abnormal
ABNORMA	abnormal
abnorma~	abnormal
abnormaility	abnormality
AbnormalEKG	Abnormal EKG
abnormalites	abnormalities
abnormalitiy	abnormality
ABNORMALLABS	abnormal labs
ABNORMALSTRESS	abnormal stress
ABNORMALTIY	abnormality
ABNORMAOITY	abnormality
ABNORML	abnormal
ABNORNAL	abnormal
ABNORNALITY	abnormality
Abnotmal	abnormal
ABNPRMALITY	abnormality
ABNRML	abnormal
ABOMINAL	abdominal
ABPAIN	abdominal pain
ABSESS	abscess
achieved~	achieved
ACS	acute coronary syndrome
acuter	acute
ADD'L	additional
ADENOCARCINO	adenocarcinoma
ADENOSANT	adenosine
ADMINSSION	admission
admis	admission
admision	admission
admissio	admission
ADMISSIOM	admission
ADMISSSION	admission
admiti	admit
admition	admission
ADMITTINGMD	admitting MD
ADMITTION	admission
ADMOSSION	admission
ADNORMAL	abnormal
AF	atrial fibrillation
afemale	a female
AFFIB	atrial fibrillation
AFFIV	atrial fibrillation
AFIB	atrial fibrillation
A-FIB	atrial fibrillation
AFIBB	atrial fibrillation
AFIBR	atrial fibrillation
AFIB-RAPID	atrial fibrillation rapid
AFIBRILATION	atrial fibrillation
A-FIBRILLATION	atrial fibrillation
AFIF	atrial fibrillation
AFLUTER	atrial flutter
a-flutter	atrial flutter
AGINA	angina
A-GOB	atrial fibrillation
alergy	allergy
ALERT-	alert
ALERTT	alert
ALFUTTER	atrial flutter
alternaing	alternating
alzeheimer's	Alzheimer's
Alzheiimer	Alzheimer's
alzheim	Alzheimer's
Alzheime	Alzheimer's
alzheimers	Alzheimer's
AMITRIPTYLLIN	amitriptyline
ANALIZE	analyze
ANAPHILAXIS	anaphylaxis
ANASARCIA	anasarca
ANEURSYM	aneurysm
angi~	angina
ANGIANA	angina
Angina-CHRONIC	angina chronic
ANHYTHMIA	arrhythmia
anormalities	abnormalities
ant MI date	anterior MI date
ant septal	anteroseptal
anter~	antero
anterio	anterior
anteriolateral	anterolateral
anterioly	anteriorly
Anteriore	anterior
anterior-lateral	anterolateral
anteriorwall	anterior wall
anteriseptal	anteroseptal
anteroir	anterior
Anterolater-	anterolateral
Antero-lateral	anterolateral
Anterolatral	anterolateral
anterolteral	anterolateral
anterospetal	anteroseptal
anterseptal	anteroseptal
ANTI-ARYTHMIC	antiarrhythmic
antrolateral	anterolateral
ANXIEY-STAT	anxiety STAT
ANXITEY	anxiety
ANXIUS	anxious
ANZIETY	anxiety
Apaced	atrial paced
APIN	pain
AQBLATION	ablation
ARDIAC	cardiac
ARF	acute renal failure
ARHITHMIAS	arrhythmias
ARHYTHMIAS	arrhythmias
arial	atrial
ARITHMIA	arrhythmia
arm-right	arm right
ARRHITHMIA	arrhythmia
ARRHITMIA	arrhythmia
ARRHTHMIA	arrhythmia
ARRHTHMIAS	arrhythmias
ARRHTHMYa	arrhythmia
ARRHTHYMIA	arrhythmia
ARRHTHYMIAS	arrhythmias
ARRHTMIA	arrhythmia
ARRHTYHMI8AS	arrhythmias
ARRHTYHMIA	arrhythmia
ARRHTYHMIAS	arrhythmias
ARRHTYMIA	arrhythmia
ARRHTYMIAS	arrhythmias
ARRHY	arrhythmia
ARRHYHAMIAS	arrhythmias
ARRHYHMIA	arrhythmia
ARRHYHMIAS	arrhythmias
ARRHYHTHMIA	arrhythmia
ARRHYMIA	arrhythmia
ARRHYMIAS	arrhythmia
ARRHYTANIA	arrhythmia
ARRHYTH	arrhythmia
arrhyth ia	arrhythmia
ARRHYTHEMIA	arrhythmia
ARRHYTHIMA	arrhythmia
ARRHYTHIMIA	arrhythmia
ARRHYTHMAI	arrhythmia
ARRHYTHMAS	arrhythmias
ARRHYTHMIA'S	arrhythmias
ARRHYTHMISA	arrhythmias
ARRHYTHMMIA	arrhythmia
ARRHYTMHIAS	arrhythmias
ARRHYTMIA	arrhythmia
ARRHYTMIAS	arrhythmias
ARRHYTMYAS	arrhythmias
ARRHYTMYIAS	arrhythmias
ARRITHMIA	arrhythmia
ARRITHMIAS	arrhythmias
ARRITHYMIA	arrhythmia
ARRITMIA	arrhythmia
ARRST	arrest
ARRTH	arrhythmia
ARRTHMIA	arrhythmia
ARRTHMIAS	arrhythmias
ARRTHY	arrhythmia
ARRTHYHMIAS	arrhythmias
ARRTHYIMIAS	arrhythmias
ARRTHYMIA	arrhythmia
ARRTHYMIAS	arrhythmias
ARRTHYMN	arrhythmia
ARRTYMIA	arrhythmia
ARRTYMIAS	arrhythmias
ARRTYTHMIA	arrhythmia
ARRY	arrhythmia
ARRYHMIA	arrhythmia
ARRYHMIAS	arrhythmias
ARRYHTHMIA	arrhythmia
ARRYHTHMIAS	arrhythmias
ARRYHTMA	arrhythmia
ARRYHTMAS	arrhythmias
arryhtmia	arrythmia
ARRYHTMIAS	arrhythmias
ARRYHYMIAS	arrhythmias
ARRYHYTHMIAS	arrhythmias
ARRYMIA	arrhythmia
ARRYMTHEMIA	arrhythmia
ARRYMTHMIA	arrhythmia
ARRYRTHMIA	arrhythmia
ARRYT	arrhythmia
ARRYTH	arrhythmia
ARRYTHAMIA	arrhythmia
ARRYTHEMIA	arrhythmia
ARRYTHEMIAS	arrhythmias
ARRYTHIA	arrhythmia
ARRYTHIMA	arrhythmia
ARRYTHIMAS	arrhythmias
ARRYTHIMIA	arrhythmia
ARRYTHM	arrhythmia
ARRYTHMA	arrhythmia
ARRYTHMAIS	arrhythmias
ARRYTHMAS	arrhythmias
ARRYTHMIA	arrhythmia
ARRYTHMIAQ	arrhythmias
ARRYTHMIAS	arrhythmias
ARRYTHMIE	arrhythmia
ARRYTHMIS	arrhythmias
ARRYTHMMIA	arrhythmia
ARRYTHMMIAS	arrhythmias
ARRYTHYMIA	arrhythmia
ARRYTMIA	arrhythmia
ARRYTMIAS	arrhythmias
artefacts	artifact
ARTEROSCLEROSIS	arteriosclerosis
ARTHMIA	arrhythmia
ARTHYMIA	arrhythmia
ARTIAL	atrial
ARTIFAC	artifact
Artifat	artifact
ARTRIAL	atrial
ARTYHMIA	arrhythmia
ARYTHIMIAS	arrhythmias
ARYTHMIA	arrhythmia
ARYTHMIAS	arrhythmias
ASCESS	assess
ASCITIES	ascites
ASHORTER	a shorter
ASRRYTHMJIAS	arrhythmias
ASSESSS	assess
ASSESSTMENT	assessment
astrocyto	astrocytoma
As-Vpace	atrial sensed ventricular paced
Asysole	asystole
ASYTOLE	asystole
AT FIB	atrial fibrillation
ATACK	atrial tachycardia
ATERIAL	arterial
atial	atrial
atipical	atypical
atiral	atrial
atrail	atrial
ATRAL	atrial
Atrial-	atrial 
atrialhythm	atrial rhythm
atrialk	atrial
atrialor	atrial or
Atrial-paced	atrial paced
Atrial-sensed	atrial sensed
Atrial-Ventricular	atrioventricular
Atril	atrial
atrila	atrial
Atrio-	atrio
Attention-deficit	attention deficit
atyrial	atrial
AVALIABLE	available
AV-BLOCK	atrioventricular block
AV-conducted	atrioventricular conducted
A-Vconduction	AV conduction
AVLATION	ablation
AVPACED	AV paced
AWARE-	aware
AXIUS	axis
AYRYTHMIA	arrhythmias
BACKPAIN	back pain
badenocarcinom	adenocarcinoma
BALOON	balloon
BARADYCARDIAC	bradycardia
BARDYCARDIA	bradycardia
BARUGADA	Brugada
basekine	baseline
BASELIN	baseline
basically	basicly
basicly	basically
BASLINE	baseline
BASWLINE	baseline
BATERY	battery
batrial	biatrial
beause	because
BEDTRIAGE	bed triage
beecause	because
beggining	beginning
belectrodes	electrodes
BestPossibleReading	best possible reading
BIGEMENY	bigeminy
BIGENING	bigeminy
BIJEMINI	bigeminy
BIV	biventricular
BIVENT	biventricular
BI-VENTRICULAR	biventricular
BIV-ICD	biventricular ICD
blcok	block
BLEEING	bleeding
block?	block
blood-pressure	blood pressure
BNORMAL	abnormal
Boderline	borderline
bordderline	borderline
Bordeline	borderline
borderlin	borderline
Boredrline	borderline
BPH	benign prostatic hypertrophy
BPMand	BPM and
BPMdue	BPM due
bpmmmmmm	bpm
bprderline	borderline
BPReading	BP reading
bpremature	premature
BRADCARDIA	bradycardia
BRADCYCARDIA	bradycardia
BRADI	bradycardia
bradicardia	bradycardia
BRADICARDIAB	bradycardia
BRADRYCARDIA	bradycardia
braducardia	bradycardia
BRADY	bradycardia
bradyarrythmia	bradyarrhythmia
BRADYCARD	bradycardia
BRADYCARDA	bradycarida
BRADYCARDI	bradycardia
BRADYCARDIAA	bradycarida
BRADYCARDIAL	bradycardia
BRADYCARDIO	bradycardia
BRADYCAREDIA	bradycardia
BRADYCHARDIA	bradycardia
BRADYCRDIA	bradycardia
bradydia	bradycardia
BRANCK	branch
BRAYCARDIA	bradycardia
brca1	BRCA 1
brea~	breast
BREAKTHROUH	breakthrough
BREAT	breast
brepeat	repeat
BRETH	breath
BRETHDING	breathing
BRETHING	beathing
BRONCHETASIS	bronchiectasis
Brugada-pattern	Brugada pattern
bundle-branch	bundle branch
bvranch	branch
bwith	with
C0UGH	cough
CAD	coronary artery disease
CADIOVASCULAR	cardiovascular
CADIOVERSION	cardioversion
cahnges	changes
CALCIFICA	calcification
can't	cannot
CARD ARREST	cardiac arrest
CARDAIC	cardiac 
CARDIACARRHYTHMIA	cardia arrhythmia
CARDIACCATH	cardiac catheterization
CARDIC	cardiac 
CARDICA	cardiac 
CARDICONVERSION	cardioversion
CARDIOCONVER	cardioversion
CARDIOCONVERSION	cardioversion
CARDIOEVERSION	cardioversion
CARDIOLMYPATHY	cardiomyopathy
CARDIOMIOPATHY	cardiomyopathy
CARDIOMOPATHY	cardiomyopathy
cardiomyiopathy	cardiomyopathy
CARDIOMYOPATHHY	cardiomyopathy
CARDIOMYPATHY	cardiomyopathy
CARDIOVASCUALR	cardiovascular
CARDIOVERTION	cardioversion
CARDIOVRSION	cardioversion
CARDIVASCULAR	cardiovascular
Cardoiomyopathy	cardiomyopathy
cardoversion	cardioversion
CARIAC	cardiac
CARIOMYOPATHY	cardiomyopathy
CARREST	arrest
CATHERIZATION	catheterization
CATHLAB	catheterization lab
CATHTERIZATION	catheterization
CCHEST	chest
CCUnnurse	CCU nurse
CEHST	chest
cerebr~	cerebral
certainity	certainty
CERVICL	cervical
CHAEST	chest
CHAMGES	changes
CHANGE'	change
CHANGESD	changes
CHANGES-POST	changes post
channges	changes
CHEAST	chest
CHECH	chest
CHEDT	chest
CHEEST	chest
CHEMOTHERAPHY	chemotherapy
CHERST	chest
CHESAT	chest
CHESET	chest
CHESG	chest
CHESGT	chest
CHESP	chest
CHESST	chest
CHESTB	chest
CHESTM	chest
CHESTN	chest
CHESTP	chest
CHESTPAIN	chest pain
CHESTPRESSURE	chest pressure
CHESTT	chest
CHESY	chest
CHETS	chest
CHHEST	cchest
CHNAGE	change
CHNAGES	changes
CHNGE	changes
CHOLECYTITIS	cholecystitis
CHOLITIS	colitis
CHREST	chest
CHRST	chest
